"id","word","trans_word","type","createdAt","updatedAt"
102,hỗn dịch uống hoặc rửa mũi,ear eye nose drops solution,translate,2021-04-12 12:14:21.425 +0700,2021-04-12 12:14:21.425 +0700
103,bột và dung môi pha hỗn dịch,powder and solvent for sealant,translate,2021-04-12 12:14:20.376 +0700,2021-04-12 12:14:20.376 +0700
104,dung dịch tiêm/pha tiêm,solution for injection infusion,translate,2021-04-12 12:13:28.756 +0700,2021-04-12 12:13:28.756 +0700
105,creamcream,ear cream,translate,2021-04-12 12:13:10.562 +0700,2021-04-12 12:13:10.562 +0700
106,viên nang cứng (đỏ - vàng),capsule hard,translate,2021-04-12 12:13:05.916 +0700,2021-04-12 12:13:05.916 +0700
107,bột pha dung dịch đậm đặc để pha dung dịch truyền tĩnh mạch,powder and solvent for concentrate for solution for infusion,translate,2021-04-12 12:12:53.535 +0700,2021-04-12 12:12:53.535 +0700
108,vien nén bao phim,compressed lozenge,translate,2021-04-12 12:12:53.431 +0700,2021-04-12 12:12:53.431 +0700
110,kem bôi âm đạo,vaginal cream,translate,2021-04-12 12:12:26.114 +0700,2021-04-12 12:12:26.114 +0700
111,bột pha dung dịch tiêm / tiêm truyền,powder for solution for injection,translate,2021-04-12 12:12:13.099 +0700,2021-04-12 12:12:13.099 +0700
112,dung dịch nhỏ mắt tai,ear eye drops solution,translate,2021-04-12 12:12:12.974 +0700,2021-04-12 12:12:12.974 +0700
113,bột pha dung dịch tiêm truyền tĩnh mạch,intravenous infusion,translate,2021-04-12 12:12:12.813 +0700,2021-04-12 12:12:12.813 +0700
114,thuốc mỡ dùng ngoài,ointment,translate,2021-04-12 12:11:24.931 +0700,2021-04-12 12:11:24.931 +0700
115,thuốc phun mù dùng hít trong bình định liều,sublingual spray,translate,2021-04-12 12:11:20.471 +0700,2021-04-12 12:11:20.471 +0700
116,injectioninjection,injection,translate,2021-04-12 12:10:59.419 +0700,2021-04-12 12:10:59.419 +0700
117,dung dịch tiêm gây tê nha khoa,solution for injection,translate,2021-04-12 12:10:10.117 +0700,2021-04-12 12:10:10.117 +0700
118,dung dịch gây tê nha khoa,dental solution,translate,2021-04-12 12:10:09.887 +0700,2021-04-12 12:10:09.887 +0700
119,viên phân tán,coated tablet,translate,2021-04-12 12:10:05.387 +0700,2021-04-12 12:10:05.387 +0700
120,viên nam cứng,capsule hard,translate,2021-04-12 12:09:46.868 +0700,2021-04-12 12:09:46.868 +0700
121,bột pha dung dịch hoặc hỗn dịch tiêm,powder for solution for injection,translate,2021-04-12 12:09:34.151 +0700,2021-04-12 12:09:34.151 +0700
122,dung dịch tiêm dưới da,cutaneous solution,translate,2021-04-12 12:09:34.007 +0700,2021-04-12 12:09:34.007 +0700
123,thuốc tiêm bột đông khô,powder for injection,translate,2021-04-12 12:09:30.196 +0700,2021-04-12 12:09:30.196 +0700
124,dầu xoa bóp,ointment,translate,2021-04-12 12:09:07.517 +0700,2021-04-12 12:09:07.517 +0700
125,dung dịch pha dịch truyền,inhalation solution,translate,2021-04-12 12:09:07.353 +0700,2021-04-12 12:09:07.353 +0700
126,thuốc tiêm liposome,injection,translate,2021-04-12 12:09:04.297 +0700,2021-04-12 12:09:04.297 +0700
127,bột và dung môi pha thành dịch treo để tiêm bắp dạng phóng thích kéo dài 3 tháng,powder and solvent for instillation solution for intraocular use,translate,2021-04-12 12:09:00.565 +0700,2021-04-12 12:09:00.565 +0700
128,hộp 1 lọ bột đông khô + 1 ống dung môi chứa 5ml nacl 09%,powder and solvent for implantation paste,translate,2021-04-12 12:08:34.497 +0700,2021-04-12 12:08:34.497 +0700
129,viên né bao tan trong ruột,periodontal gel,translate,2021-04-12 12:08:34.141 +0700,2021-04-12 12:08:34.141 +0700
130,xi-rô,syrup,translate,2021-04-12 12:08:29.689 +0700,2021-04-12 12:08:29.689 +0700
131,suspensionsuspension,suspension for infusion,translate,2021-04-12 12:08:26.906 +0700,2021-04-12 12:08:26.906 +0700
132,bột đông khô pha dung dịch đậm đặc để pha dung dịch tiêm truyền tĩnh mạch,powder and solvent for concentrate for solution for infusion,translate,2021-04-12 12:08:22.121 +0700,2021-04-12 12:08:22.121 +0700
133,viên nén hai lớp,soluble tablet,translate,2021-04-12 12:07:40.415 +0700,2021-04-12 12:07:40.415 +0700
134,viên phóng thích kéo dài,prolonged release tablet,translate,2021-04-12 12:07:35.918 +0700,2021-04-12 12:07:35.918 +0700
135,chất lỏng gây mê dùng qua đường hô hấp,cutaneous liquid,translate,2021-04-12 12:07:32.719 +0700,2021-04-12 12:07:32.719 +0700
136,thuốc mê bay hơi (chất lỏng dùng để hít),inhalation vapour liquid,translate,2021-04-12 12:07:32.642 +0700,2021-04-12 12:07:32.642 +0700
137,bột pha tiêm bắp tĩnh mạch hoặc truyền tĩnh mạch,powder for solution for injection or infusion,translate,2021-04-12 12:07:28.767 +0700,2021-04-12 12:07:28.767 +0700
138,dung dịch tiêm trong bút tiêm nạp sẵn,solution for injection in pre filled pen,translate,2021-04-12 12:07:01.741 +0700,2021-04-12 12:07:01.741 +0700
86,lọ,vial,translate,2021-04-12 12:17:23.556 +0700,2021-04-12 12:17:23.556 +0700
109,dung dịch,solution,translate,2021-04-12 12:12:35.183 +0700,2021-04-12 12:12:35.183 +0700
140,dung dịch đậm đặc vô khuẩn,cutaneous solution,translate,2021-04-12 12:06:33.291 +0700,2021-04-12 12:06:33.291 +0700
141,hỗn hợp dịch chiết dạng xịt dưới lưỡi,denture lacquer,translate,2021-04-12 12:06:24.000 +0700,2021-04-12 12:06:24.000 +0700
142,bột đông khô pha tiêm hoặc tiêm truyền,powder for solution for injection or infusion,translate,2021-04-12 12:06:23.812 +0700,2021-04-12 12:06:23.812 +0700
143,hỗn dịch dùng ngoài,herbal tea,translate,2021-04-12 12:06:09.448 +0700,2021-04-12 12:06:09.448 +0700
144,vắc xin dạng bột + dung môi,powder and solvent for sealant,translate,2021-04-12 12:06:04.021 +0700,2021-04-12 12:06:04.021 +0700
145,bột và dung môi để pha dung dịch tiêm,powder and solvent for solution for injection,translate,2021-04-12 12:05:43.553 +0700,2021-04-12 12:05:43.553 +0700
146,dung dịch thuốc tiêm tĩnh mạch,solution for injection infusion,translate,2021-04-12 12:05:43.244 +0700,2021-04-12 12:05:43.244 +0700
147,dịch tiêm truyền,pressurised inhalation suspension,translate,2021-04-12 12:05:43.016 +0700,2021-04-12 12:05:43.016 +0700
148,bột pha tiêm/truyền và hít,powder and solvent for solution for injection infusion,translate,2021-04-12 12:05:38.325 +0700,2021-04-12 12:05:38.325 +0700
149,viên nén bao phim`,film coated tablet,translate,2021-04-12 12:05:38.113 +0700,2021-04-12 12:05:38.113 +0700
150,cao dán,cutaneous patch,translate,2021-04-12 12:05:33.921 +0700,2021-04-12 12:05:33.921 +0700
151,viên nang đặt âm đạo,vaginal capsule,translate,2021-04-12 12:05:21.234 +0700,2021-04-12 12:05:21.234 +0700
152,hỗn dịch hít qua đường miệng (dạng phun sương),sublingual spray,translate,2021-04-12 12:05:05.632 +0700,2021-04-12 12:05:05.632 +0700
153,bột pha tiêm hay truyền,powder for injection,translate,2021-04-12 12:05:01.296 +0700,2021-04-12 12:05:01.296 +0700
154,bột pha tiêm truyền tĩnh mạch,intravenous infusion,translate,2021-04-12 12:04:39.044 +0700,2021-04-12 12:04:39.044 +0700
155,hệ phóng thích thuốc qua dụng cụ đặt tử cung,intrauterine delivery system,translate,2021-04-12 12:04:17.879 +0700,2021-04-12 12:04:17.879 +0700
156,dung dịch đậm đặc pha truyền tĩnh mạch,concentrate for solution for intravesical use,translate,2021-04-12 12:04:04.543 +0700,2021-04-12 12:04:04.543 +0700
157,miếng dán,ear stick,translate,2021-04-12 12:03:51.844 +0700,2021-04-12 12:03:51.844 +0700
158,cream bôi da,cream,translate,2021-04-12 12:03:38.045 +0700,2021-04-12 12:03:38.045 +0700
159,dung dịch đậm đặc pha dung dịch truyền,oral solution concentrate for nebuliser solution,translate,2021-04-12 12:02:52.825 +0700,2021-04-12 12:02:52.825 +0700
160,vắc xin bột đông khô và dung môi hoàn nguyên,eye drops powder and solvent for solution,translate,2021-04-12 12:02:28.799 +0700,2021-04-12 12:02:28.799 +0700
161,vắc xin đông khô (hib) vắc xin hỗn dịch tiêm (dtacp-ipv) hoàn nguyên thành hỗn dịch tiêm,solution for injection in pre filled syringe,translate,2021-04-12 12:02:15.884 +0700,2021-04-12 12:02:15.884 +0700
162,dung dịch súc họng và súc miệng,cutaneous solution,translate,2021-04-12 12:02:10.355 +0700,2021-04-12 12:02:10.355 +0700
163,viên nén giải phóng có kiểm soát,prolonged release tablet,translate,2021-04-12 12:02:10.169 +0700,2021-04-12 12:02:10.169 +0700
164,viên nén kháng acid dạ dày,gastro resistant tablet,translate,2021-04-12 12:01:54.387 +0700,2021-04-12 12:01:54.387 +0700
165,thuốc xịt mũi,nasal spray,translate,2021-04-12 12:01:44.826 +0700,2021-04-12 12:01:44.826 +0700
166,hỗn dịch xịt qua bình định liều điều áp,pressurised inhalation,translate,2021-04-12 12:01:40.574 +0700,2021-04-12 12:01:40.574 +0700
167,bột đông khô (hib) và hỗn dịch (dtpa-ipv) để pha hỗn dịch tiêm,powder and solvent for prolonged release suspension for injection,translate,2021-04-12 12:01:26.816 +0700,2021-04-12 12:01:26.816 +0700
168,bột đông khô pha truyền tĩnh mạch,dental powder,translate,2021-04-12 12:01:00.445 +0700,2021-04-12 12:01:00.445 +0700
169,viên nang chứa vi hạt,capsule,translate,2021-04-12 12:00:37.116 +0700,2021-04-12 12:00:37.116 +0700
170,bột đông khô pha tiêm + dung môi pha tiêm,powder and solvent for solution for injection,translate,2021-04-12 12:00:37.077 +0700,2021-04-12 12:00:37.077 +0700
171,bột đông khô để pha tiêm,powder for injection,translate,2021-04-12 11:59:59.670 +0700,2021-04-12 11:59:59.670 +0700
172,dung dịch tiêm nội tủy mạc (dưới màng nhện),transdermal system,translate,2021-04-12 11:59:59.512 +0700,2021-04-12 11:59:59.512 +0700
173,cốm pha huyền dịch uống,ear eye nose drops solution,translate,2021-04-12 11:59:54.886 +0700,2021-04-12 11:59:54.886 +0700
174,thuốc đạn đặt trực tràng,suppository,translate,2021-04-12 11:59:36.217 +0700,2021-04-12 11:59:36.217 +0700
175,bột đông khô pha dung dịch tiêm truyền tĩnh mạch,powder and solvent for solution for infusion,translate,2021-04-12 11:59:31.134 +0700,2021-04-12 11:59:31.134 +0700
176,dung dịch tiêm/truyền quanh dây thần kinh ngoài màng cứng,powder and solvent for solution for injection infusion,translate,2021-04-12 11:59:03.668 +0700,2021-04-12 11:59:03.668 +0700
177,gel dùng ngoài,nasal gel,translate,2021-04-12 11:59:02.911 +0700,2021-04-12 11:59:02.911 +0700
178,bột đông khô và dung dịch pha tiêm,powder and solvent for solution for injection,translate,2021-04-12 11:58:53.638 +0700,2021-04-12 11:58:53.638 +0700
179,viên nén,tablet,translate,2021-04-12 11:58:53.407 +0700,2021-04-12 11:58:53.407 +0700
180,dung dịch tiêm/ dung dịch đậm đặc để pha dung dịch tiêm truyền,powder and solvent for solution for injection infusion,translate,2021-04-12 11:58:52.891 +0700,2021-04-12 11:58:52.891 +0700
181,hỗn dịch dùng đường nội khí quản,denture lacquer,translate,2021-04-12 11:58:48.506 +0700,2021-04-12 11:58:48.506 +0700
182,dược chất lỏng nguyên chất dùng để hít,medicinal gas liquefied,translate,2021-04-12 11:58:48.161 +0700,2021-04-12 11:58:48.161 +0700
183,viên nang giải phóng chậm,capsule soft,translate,2021-04-12 11:58:34.055 +0700,2021-04-12 11:58:34.055 +0700
184,dung dịch tiêm bắp,ear spray solution,translate,2021-04-12 11:58:29.276 +0700,2021-04-12 11:58:29.276 +0700
185,"bột đông khô pha dung dịch tiêm truyền""",powder for solution for infusion,translate,2021-04-12 11:57:56.273 +0700,2021-04-12 11:57:56.273 +0700
186,nhũ tương tiêm hoặc truyền tĩnh mạch,emulsion for injection,translate,2021-04-12 11:57:51.789 +0700,2021-04-12 11:57:51.789 +0700
187,hỗn dịch tiêm,injection,translate,2021-04-12 11:57:46.615 +0700,2021-04-12 11:57:46.615 +0700
188,nhũ tương để tiêm hoặc truyền,emulsion for injection infusion,translate,2021-04-12 11:57:05.342 +0700,2021-04-12 11:57:05.342 +0700
193,viên đặt,pillules,translate,2021-04-12 11:55:34.839 +0700,2021-04-12 11:55:34.839 +0700
194,syro,syrup,translate,2021-04-12 11:55:29.814 +0700,2021-04-12 11:55:29.814 +0700
195,dung dịch đậm đặc pha tiêm truyền tĩnh mạch,concentrate for solution for infusion,translate,2021-04-12 11:55:29.811 +0700,2021-04-12 11:55:29.811 +0700
196,dung dịch dùng ngoài da,spot on solution,translate,2021-04-12 11:55:20.554 +0700,2021-04-12 11:55:20.554 +0700
197,viên nén giải phóng kéo dài,modified release tablet,translate,2021-04-12 11:55:07.276 +0700,2021-04-12 11:55:07.276 +0700
198,viên hoàn,intestinal gel,translate,2021-04-12 11:54:33.134 +0700,2021-04-12 11:54:33.134 +0700
202,viên nang viên nén,capsule,translate,2021-04-12 11:52:48.586 +0700,2021-04-12 11:52:48.586 +0700
270,dung dịch thuốc nhỏ mắt,eye drops solution,translate,2021-04-12 11:39:44.879 +0700,2021-04-12 11:39:44.879 +0700
190,nhũ dịch tiêm truyền,infusion emulsion,translate,2021-04-12 11:55:44.849 +0700,2021-04-12 11:55:44.849 +0700
192,dung dịch xịt,spray solution,translate,2021-04-12 11:55:39.815 +0700,2021-04-12 11:55:39.815 +0700
199,hỗn dịch để tiêm,suspension for injection,translate,2021-04-12 11:54:10.134 +0700,2021-04-12 11:54:10.134 +0700
200,viên nén (phóng thích chậm),tablets (slow release),translate,2021-04-12 11:53:39.397 +0700,2021-04-12 11:53:39.397 +0700
201,dung dịch dùng ngoài,solution for external use,translate,2021-04-12 11:52:49.199 +0700,2021-04-12 11:52:49.199 +0700
203,hỗn dịch khí dung,aerosol suspension,translate,2021-04-12 11:52:26.870 +0700,2021-04-12 11:52:26.870 +0700
205,dung dịch tiêm bắp hoặc tiêm dưới da,solution for injection infusion,translate,2021-04-12 11:51:43.704 +0700,2021-04-12 11:51:43.704 +0700
206,viên trứng đặt âm đạo,vaginal tablet,translate,2021-04-12 11:51:39.278 +0700,2021-04-12 11:51:39.278 +0700
207,thuốc nhỏ mắt,eye drops,translate,2021-04-12 11:51:09.890 +0700,2021-04-12 11:51:09.890 +0700
208,dung dịch phun mù vào mũi có chia liều,nasal spray solution,translate,2021-04-12 11:50:53.808 +0700,2021-04-12 11:50:53.808 +0700
209,dung dịch nhỏ mũi,oral solution,translate,2021-04-12 11:50:53.532 +0700,2021-04-12 11:50:53.532 +0700
210,bột pha tiêm bắp tĩnh mạch,powder for intravesical suspension,translate,2021-04-12 11:50:48.949 +0700,2021-04-12 11:50:48.949 +0700
213,dung dịch đậm đặc để pha dung dịch tiêm truyền,concentrate and solvent for solution for infusion,translate,2021-04-12 11:49:38.770 +0700,2021-04-12 11:49:38.770 +0700
214,hỗn hợp tiêm,injection,translate,2021-04-12 11:49:34.125 +0700,2021-04-12 11:49:34.125 +0700
