"id","class","group","name","activeIngredient","formatted_activeIngredient","strength","formatted_strength","ingredient_strength","formatted_ingredient_strength","form","formatted_form","package","formatted_package","unit","formatted_unit","standard","age","registerCode","registerCompany","registerCountry","registerAddress","manufactureCompany","manufactureCountry","manufactureAddress","createdAt","updatedAt","formatted_manufactureCountry","using"
c4c1affd-83eb-45a6-b8aa-e514274d73f3,"Dạ dày, ruột",,X-Zyme,"Alpha amylase, Papaine, Simethicone",Alpha amylase + Papaine + Simethicon,.,"","Alpha amylase, Papaine, Simethicone - .",Alpha amylase  + Papaine  + Simethicon ,Viên nang,Viên nang,Hộp 3 vỉ x 10 viên,,,Viên,NSX,"24 tháng",VN-4217-07,Công ty cổ phần dược phẩm Cửu Long,Việt Nam,"Số 150 đường 14 tháng 9, Phường 5, TX. Vĩnh Long, tỉnh Vĩnh Long","XL Laboratories Pvt., Ltd.",India,"E-1223, Phase I Extn (Ghatal) RIICO Industrial Area Bhiwadi (Raj)",2021-12-31 14:58:20.918 +0700,2021-12-31 14:58:20.918 +0700,Ấn Độ,Khác
b1111456-e9ab-4382-8d03-8efa0684fe5a,Loại khác,,Medopapa,"Alpha amylase, Papaine, Simethicone",Alpha amylase + Papaine + Simethicon,,"","Alpha amylase, Papaine, Simethicone",Alpha amylase  + Papaine  + Simethicon ,Viên nang,Viên nang,Hộp 1 lọ 30 viên,,,Viên,Nhà sản xuất,"36 tháng",VN-7590-03,S.I.A. (Tenamyd Canada) Inc.,Canada,"640 Marlatt Street, St. Laurent, P.Q., H4M2H3",S.R.S. Pharmaceuticals Pvt. Ltd.,India,"6, National House 27, Raghunath Dadaji St. Fort Mumbai 400 001",2021-12-31 14:58:20.918 +0700,2021-12-31 14:58:20.918 +0700,Ấn Độ,Khác
ce2460b5-8961-4fd7-a316-19cbba4e1f71,Các loại khác,Tân dược,Enterpass,Alpha amylase 100 mg; Papain 100 mg; Simethicon 30 mg;,Alpha amylase + Papaine + Simethicon,"100 mg, 100 mg, 30 mg","100mg + 100mg + 30mg","Alpha amylase 100 mg; Papain 100 mg; Simethicon 30 mg; - 100 mg, 100 mg, 30 mg",Alpha amylase 100mg + Papaine 100mg + Simethicon 30mg,Viên nang mềm,Viên nang,Hộp 10 vỉ x 10 viên,,,Viên,TCCS,"36 tháng",VD-26873-17,Công ty cổ phần dược phẩm Me Di Sun,Việt Nam,"521 khu phố An Lợi, phường Hoà Lợi, thị xã Bến Cát, tỉnh Bình Dương",Công ty cổ phần dược phẩm Me Di Sun,Việt Nam,"521 khu phố An Lợi, phường Hoà Lợi, thị xã Bến Cát, tỉnh Bình Dương",2021-12-31 14:58:20.918 +0700,2021-12-31 14:58:20.918 +0700,Việt Nam,Uống
"95b426ab-50de-4a75-b332-4ba793b12b69",Loại khác,,Ikopep,"Alpha Amylase, Papain, Simethicon",Alpha amylase + Papaine + Simethicon,.,"","Alpha Amylase, Papain, Simethicon - .",Alpha amylase  + Papaine  + Simethicon ,Viên nang,Viên nang,Hộp 1 lọ 30 viên,,,Viên,NSX,"24 tháng",VN-0161-06,Công ty Dược Trung ương 3,Việt Nam,"115 Ngô Gia Tự, Q. Hải Châu - Đà Nẵng",IKO Overseas,India,"D-14/6, Okhla Industrial area, Phase I, New Delhi, 110 020.",2021-12-31 14:58:20.918 +0700,2021-12-31 14:58:20.918 +0700,Ấn Độ,Khác
"46c5c11e-a173-49c2-9ae5-b1514d3f5b83",Loại khác,,Napepsin,"Alpha Amylase, Papain, Simethicon",Alpha amylase + Papaine + Simethicon,.,"","Alpha Amylase, Papain, Simethicon - .",Alpha amylase  + Papaine  + Simethicon ,Viên nang,Viên nang,Hộp 10 vỉ x 10 viên,,,Viên,NSX,"24 tháng",VN-1002-06,S.R.S. Pharmaceuticals Pvt. Ltd.,India,"6, National House 27, Raghunath Dadaji St. Fort Mumbai 400 001",Clesstra Healthcare Pvt. Ltd.,India,"Plot No. D-312/313 MIDC, T.T.C Industrial Estate, Turbhe, Navi Mumbai Dist. Thane",2021-12-31 14:58:20.918 +0700,2021-12-31 14:58:20.918 +0700,Ấn Độ,Khác
"9318d06b-20c0-42c8-a3b9-c37966816a9c",,,Napepsin,"Alpha Amylase, Papain, Simethicon",Alpha amylase + Papaine + Simethicon,"100mg, 100mg, 30mg","100mg + 100mg + 30mg","Alpha Amylase, Papain, Simethicon - 100mg, 100mg, 30mg",Alpha amylase 100mg + Papaine 100mg + Simethicon 30mg,Viên nang cứng,Viên nang,Hộp 10 vỉ x 10 viên,,,Viên,NSX,"24 tháng",VN-13447-11,"Yeva Therapeutics Pvt., Ltd.",India,"108, Shiv Chambers, plot.No.21, C.B.D.Sector II, Belapur, New Bombay-400 703",Cure Medicines (I) Pvt Ltd,India,"C-12/13, M.I.D.C., Bhosari, pune - 411026",2021-12-31 14:58:21.002 +0700,2021-12-31 14:58:21.002 +0700,Ấn Độ,Khác
aa37973e-588b-4664-87f8-3c285ab58b51,,,Ecosac,"Alpha amylase, Papain, Simethicone",Alpha amylase + Papaine + Simethicon,"100mg; 100mg; 30mg","100mg + 100mg + 30mg","Alpha amylase, Papain, Simethicone - 100mg; 100mg; 30mg",Alpha amylase 100mg + Papaine 100mg + Simethicon 30mg,Viên nang,Viên nang,Hộp 3 vỉ x 10 viên,,,Viên,NSX,"24 tháng",VN-13921-11,"XL Laboratories Pvt., Ltd.",India,"I-14, Shivlok House-I Karampura Comm Complex, New Delhi-110 015","Curemed Healthcare Pvt., Ltd.",India,"E-1223, Phase-1, Extn. (Ghatal) Riico Industrial Area, Bhiwadi 301019, Rajasthan.",2021-12-31 14:58:21.002 +0700,2021-12-31 14:58:21.002 +0700,Ấn Độ,Khác
"8cbd30fc-0fe2-4814-9ab4-8efcfc18c6a4",,,Sanagum,"Alpha amylase, Papain, Simethicone",Alpha amylase + Papaine + Simethicon,"100mg; 100mg; 30mg","100mg + 100mg + 30mg","Alpha amylase, Papain, Simethicone - 100mg; 100mg; 30mg",Alpha amylase 100mg + Papaine 100mg + Simethicon 30mg,Viên nang,Viên nang,Hộp 3 vỉ x 10 viên,,,Viên,NSX,"36 tháng",VN-13953-11,"Yeva Therapeutics Pvt., Ltd.",India,"108, Shiv Chambers, plot.No.21, C.B.D.Sector II, Belapur, New Bombay-400 703",Cure Medicines (I) Pvt Ltd,India,"C-12/13, M.I.D.C., Bhosari, pune - 411026",2021-12-31 14:58:21.002 +0700,2021-12-31 14:58:21.002 +0700,Ấn Độ,Khác
b7bc9dd1-abb8-434b-afc9-a4584261ff30,"Dạ dày, ruột",Tân dược,Zysmas,Alpha amylase (dưới dạng Fungal diastase 1 : 800) 100mg; Papain 100mg; Simethicon 30mg,Alpha amylase + Papaine + Simethicon,,"100mg + 100mg + 30mg",Alpha amylase (dưới dạng Fungal diastase 1 : 800) 100mg; Papain 100mg; Simethicon 30mg,Alpha amylase 100mg + Papaine 100mg + Simethicon 30mg,Viên nang cứng,Viên nang,Hộp 3 vỉ x 10 viên,,,Viên,NSX,"24 tháng",VN-16979-13,Công ty cổ phần dược phẩm Cửu Long,Việt Nam,"Số 150 đường 14 tháng 9, Phường 5, TP. Vĩnh Long, tỉnh Vĩnh Long","XL Laboratories Pvt., Ltd.",India,"E-1223, Phase-I Extn (Ghatal) RIICO Industrial Area, Bhiwadi-301019, Rajasthan",2021-12-31 14:58:21.002 +0700,2021-12-31 14:58:21.002 +0700,Ấn Độ,Khác
e588bb1d-4b26-41cf-bc30-36300be0fc18,"Dạ dày, ruột",Tân dược,Neopeptine,Alpha amylase (dưới dạng Fungal diastase 1 : 800) 100mg; Papain 100mg; Simethicone 30mg,Alpha amylase + Papaine + Simethicon,,"100mg + 100mg + 30mg",Alpha amylase (dưới dạng Fungal diastase 1 : 800) 100mg; Papain 100mg; Simethicone 30mg,Alpha amylase 100mg + Papaine 100mg + Simethicon 30mg,Viên nang cứng,Viên nang,"Hộp 3 vỉ x 10 viên, hộp 10 vỉ x 10 viên",,,Viên,NSX,"24 tháng",VN-17152-13,"Raptakos, Brett & Co., Ltd.",India,"Dr Annie Besant Road, Worli, Mumbai 400 030","Raptakos, Brett & Co., Ltd.",India,"100/2 M.I.D.C. Dhatav Roha - 402 116",2021-12-31 14:58:21.002 +0700,2021-12-31 14:58:21.002 +0700,Ấn Độ,Khác
"40a8d5c5-e56d-495d-a40d-c1f28015458b","Dạ dày, ruột",,Zysmas,"Alpha Amylase, Papain, Simethicon",Alpha amylase + Papaine + Simethicon,.,"","Alpha Amylase, Papain, Simethicon - .",Alpha amylase  + Papaine  + Simethicon ,Viên nang,Viên nang,Hộp 3 vỉ x 10 viên,,,Viên,NSX,"24 tháng",VN-2697-07,Công ty cổ phần dược phẩm Cửu Long,Việt Nam,"Số 150 đường 14 tháng 9, Phường 5, TX. Vĩnh Long, tỉnh Vĩnh Long","XL Laboratories Pvt., Ltd.",India,"E-1223, Phase I Extn (Ghatal) RIICO Industrial Area Bhiwadi (Raja)",2021-12-31 14:58:21.002 +0700,2021-12-31 14:58:21.002 +0700,Ấn Độ,Khác
"0ee91d29-f5a7-4e00-b536-c83892a08fd8",,,Digestal,"Alpha Amylase 100mg, Papain 100mg, Simethicon 30mg",Alpha amylase + Papaine + Simethicon,--,"100mg + 100mg + 30mg","Alpha Amylase 100mg, Papain 100mg, Simethicon 30mg - --",Alpha amylase 100mg + Papaine 100mg + Simethicon 30mg,Viên nang,Viên nang,Hộp 3 vỉ x 10 viên nang,,,Viên,NSX,"24 tháng",VN-4996-10,Axon Drugs Private Ltd.,India,"148/12B, Chennai - Bangalore Highway, Chembarambakkam, 602 103, Tamil Nadu.",Axon Drugs Private Ltd.,India,"148/12B, Chennai - Bangalore Highway, Chembarambakkam, 602 103, Tamil Nadu.",2021-12-31 14:58:21.002 +0700,2021-12-31 14:58:21.002 +0700,Ấn Độ,Khác
ac2366b8-ca6b-4bb3-876a-41f16883503e,"Dạ dày, ruột",,Pepnic,"Alpha Amylase, Papain, Simethicon",Alpha amylase + Papaine + Simethicon,.,"","Alpha Amylase, Papain, Simethicon - .",Alpha amylase  + Papaine  + Simethicon ,Viên nang,Viên nang,Hộp 5vỉ x 10viên,,,Viên,NSX,"24 tháng",VN-6100-08,Clesstra Healthcare Pvt. Ltd.,India,"401D Poonam Chambers A Wing Dr. A.B Road Worli, Mumbai 400018, India","Yeva Therapeutics Pvt., Ltd.",India,"Plot No. R-914/915 T.T.C. Industrial Area, Rabale, Navi-Mumbai 400 701",2021-12-31 14:58:21.002 +0700,2021-12-31 14:58:21.002 +0700,Ấn Độ,Khác
b223fc6b-01f8-4f4e-9e70-966372a346cb,"Dạ dày, ruột",,Gastrel,Alpha-amylase; papain; simethicon,Alpha amylase + Papaine + Simethicon,.,"",Alpha-amylase; papain; simethicon - .,Alpha amylase  + Papaine  + Simethicon ,Viên nang,Viên nang,Hộp 3vỉ x 10viên,,,Viên,NSX,"24 tháng",VN-6362-08,"XL Laboratories Pvt., Ltd.",India,"I-14, Shivlok House-I Karampura Comm Complex, New Delhi-110 015","XL Laboratories Pvt., Ltd.",India,"E-1223, Phase I Extn (Ghatal) RIICO Industrial Area Bhiwadi (Raj)",2021-12-31 14:58:21.002 +0700,2021-12-31 14:58:21.002 +0700,Ấn Độ,Khác
"6caf6845-5c8e-4c37-904e-08e6a4d5801a","Dạ dày, ruột",,Roucile,"Alpha Amylase, Papain, Simethicon",Alpha amylase + Papaine + Simethicon,.,"","Alpha Amylase, Papain, Simethicon - .",Alpha amylase  + Papaine  + Simethicon ,Viên nang cứng,Viên nang,Hộp 5vỉ x 10viên,,,Viên,NSX,"24 tháng",VN-6609-08,Clesstra Healthcare Pvt. Ltd.,India,"401D Poonam Chambers A Wing Dr. A.B Road Worli, Mumbai 400018, India","Yeva Therapeutics Pvt., Ltd.",India,"Plot No. R-914/915 T.T.C. Industrial Area, Rabale, Navi-Mumbai 400 701",2021-12-31 14:58:21.002 +0700,2021-12-31 14:58:21.002 +0700,Ấn Độ,Khác
"1fc2997d-a44b-43be-9e4c-503ab6069cb4","Dạ dày, ruột",,Neopeptine,Alpha-amylase; papain; simethicon,Alpha amylase + Papaine + Simethicon,,"",Alpha-amylase; papain; simethicon,Alpha amylase  + Papaine  + Simethicon ,Viên nang,Viên nang,Hộp 10 vỉ x 10 viên; hộp 2 vỉ X 4 viên,,,Viên,Nhà sản xuất,"24 tháng",VN-7204-02,"Raptakos, Brett & Co., Ltd.",India,"Dr Annie Besant Road, Worli, Mumbai 400 030","Raptakos, Brett & Co., Ltd.",India,"100/2 M.I.D.C. Dhatav Roha - 402 116",2021-12-31 14:58:21.002 +0700,2021-12-31 14:58:21.002 +0700,Ấn Độ,Khác
dc3a6a65-7630-496b-b2bf-a222a06187a1,Hormon và cấu trúc hormon,Tân dược,Budenase AQ,Budesonide,Budesonide,"0,2% w/v","0.2%","Budesonide - 0,2% w/v",Budesonide 0.2%,Thuốc xịt mũi,Thuốc xịt mũi,"Lọ 7,5ml",,,Lọ,NSX,"36 tháng",VN-15266-12,Cipla Ltd.,India,Mumbai Central Mumbai 400 008,Cipla Ltd.,India,"L139 to L146, Verna Industrial Estate, Verna Goa",2021-12-31 14:58:24.394 +0700,2021-12-31 14:58:24.394 +0700,Ấn Độ,Khác
"5cf6d85a-c33e-41e6-a070-9906528bf9e4","Dạ dày, ruột",,Synneupep,"Alpha Amylase, Papain, Simethicon",Alpha amylase + Papaine + Simethicon,,"","Alpha Amylase, Papain, Simethicon",Alpha amylase  + Papaine  + Simethicon ,Viên nang,Viên nang,Hộp 1 chai 30 viên,,,Viên,Nhà sản xuất,"24 tháng",VN-8423-04,Synmedic Laboratories,India,"202 Sai Plaza, 187-188 Sant Nagar, East of Kailash, New Delhi-110065.",Synmedic Laboratories,India,"166, DLF Industrial Area, Phase I Faridabad, 121003 (Haryana).",2021-12-31 14:58:21.002 +0700,2021-12-31 14:58:21.002 +0700,Ấn Độ,Khác
"9cef86e4-32f2-43ee-afda-8f3d49e1c47a",Các loại khác,Tân dược,Neofepatin,"Alpha amylase, simethicon, papain",Alpha amylase + Papaine + Simethicon, ,"","Alpha amylase, simethicon, papain -  ",Alpha amylase  + Papaine  + Simethicon ,Viên nang,Viên nang,hộp 10vỉ x 10viên nang,,,Viên,TCCS,"24 tháng",VNB-1594-04,Công ty cổ phần Dược Phú Thọ,Việt Nam,"Số 2201, đại lộ Hùng Vương, TP. Việt Trì, Phú Thọ",Công ty cổ phần Dược Phú Thọ,Việt Nam,"Số 2201, đại lộ Hùng Vương, TP. Việt Trì, Phú Thọ",2021-12-31 14:58:21.002 +0700,2021-12-31 14:58:21.002 +0700,Việt Nam,Khác
"07757572-472c-4d21-8c6e-434a69b64418","Thuốc tác dụng trên dạ dày, ruột",Tân dược,Alpamylase-DK,"Alpha amylase, simethicon, papain",Alpha amylase + Papaine + Simethicon, ,"","Alpha amylase, simethicon, papain -  ",Alpha amylase  + Papaine  + Simethicon ,Viên nang,Viên nang,hộp 2vỉ x 10viên nang,,,Viên,TCCS,"24 tháng",V1035-H12-05,Công ty Dược khoa,Việt Nam,"13 - 15 Lê Thánh Tông - Hà Nội",Công ty Dược khoa,Việt Nam,"13 - 15 Lê Thánh Tông - Hà Nội",2021-12-31 14:58:21.002 +0700,2021-12-31 14:58:21.002 +0700,Việt Nam,Khác
"86e01031-bd84-40f9-819a-def248248d62","Thuốc tác dụng trên dạ dày, ruột",Tân dược,Kapetase,"Alpha amylase, Papain, Simethicon",Alpha amylase + Papaine + Simethicon, ,"","Alpha amylase, Papain, Simethicon -  ",Alpha amylase  + Papaine  + Simethicon ,Viên nang,Viên nang,Hộp 10 vỉ x 10 viên nang,,,Viên,TCCS,"24 tháng",VD-0948-06,Công ty cổ phần dược phẩm Khánh Hoà,Việt Nam,"Số 48 Sinh Trung, tp. Nha Trang, Khánh Hoà (SX tại đường 2/4, P. Vĩnh Hoà, Nha Trang",Công ty cổ phần dược phẩm Khánh Hoà,Việt Nam,"Số 48 Sinh Trung, tp. Nha Trang, Khánh Hoà (SX tại đường 2/4, P. Vĩnh Hoà, Nha Trang",2021-12-31 14:58:21.002 +0700,2021-12-31 14:58:21.002 +0700,Việt Nam,Khác
"1e00527b-aa3f-4b6f-a07d-f01e15fccdb7",Các loại khác,Tân dược,Digesfit,"Papain 65 mg, Alpha amylase 50 mg (Fungal diastase 1:800    40 đơn vị), Simethicon 25 mg",Alpha amylase + Papaine + Simethicon, ,"50mg + 65mg + 25mg","Papain 65 mg, Alpha amylase 50 mg (Fungal diastase 1:800    40 đơn vị), Simethicon 25 mg -  ",Alpha amylase 50mg + Papaine 65mg + Simethicon 25mg,Viên nén sủi bọt,Viên sủi,Hộp 25 vỉ x 2 viên nén sủi bọt. Thùng carton đựng 50 hộp,,,Viên,TCCS,"36 tháng",VD-12805-10,Công ty cổ phần dược phẩm Cửu Long,Việt Nam,"150 đường 14/9, TP. Vĩnh Long, tỉnh Vĩnh Long",Công ty cổ phần dược phẩm Cửu Long,Việt Nam,"150 đường 14/9, TP. Vĩnh Long, tỉnh Vĩnh Long",2021-12-31 14:58:21.002 +0700,2021-12-31 14:58:21.002 +0700,Việt Nam,Khác
c06a8896-8746-4205-976f-18af32ecb958,,,Neopeptine capsules ,"Alpha Amylase, papain, simethicone,  tribasic calcium phosphate",Alpha amylase + Calcium phosphate + Papaine + Simethicon,.,"","Alpha Amylase, papain, simethicone,  tribasic calcium phosphate - .",Alpha amylase  + Calcium phosphate  + Papaine  + Simethicon ,Viên nang,Viên nang,Hộp 10 vỉ x 10 viên,,,Viên,NSX,"36 tháng",VN-5064-07,"Raptakos, Brett & Co., Ltd.",India,"253 Dr. Annie Besant road, Worli Colony Post Office, Mumbai","Raptakos, Brett & Co., Ltd.",India,"100/2 M.I.D.C. Dhatav Roha - 402 116",2021-12-31 14:58:21.002 +0700,2021-12-31 14:58:21.002 +0700,Ấn Độ,Khác
"3c77ccdd-7810-48d8-85fa-972bc1f07d22",Các loại khác,Tân dược,Phudchymo,"Alpha - chymotrypsin 4,2 mg tương ứng 21 microkatals hay 4200 đơn vị chymotrypsin USP",Alpha chymotrypsin, ,"4.2mg","Alpha - chymotrypsin 4,2 mg tương ứng 21 microkatals hay 4200 đơn vị chymotrypsin USP -  ",Alpha chymotrypsin 4.2mg,Viên nén,Viên,"Hộp 1 vỉ, 2 vỉ 3 vỉ, 6 vỉ, 10 vỉ, 25 vỉ, 50 vỉ x 10 viên nén",,,Viên,DĐVN 4,"36 tháng",VD-14370-11,Công ty cổ phần Dược phẩm Phương Đông,Việt Nam,"Lô số 7, đường số 2, KCN. Tân Tạo, P. Tân Tạo A, Q. Bình Tân, TP. Hồ Chí Minh",Công ty cổ phần Dược phẩm Phương Đông,Việt Nam,"Lô 7, đường số 2, KCN. Tân Tạo, P. Tân Tạo A, Q. Bình Tân, TP. Hồ Chí Minh",2021-12-31 14:58:21.002 +0700,2021-12-31 14:58:21.002 +0700,Việt Nam,Khác
"3848259c-056f-46ca-96bb-309d5582c471",Hạ nhiệt - giảm đau - chống viêm phi steroid,Tân dược,Alpha chymotrypsine,"Alpha chymotrypsine 4,2mg",Alpha chymotrypsin, ,"4.2mg","Alpha chymotrypsine 4,2mg -  ",Alpha chymotrypsin 4.2mg,Viên nén,Viên,Hộp 2 vỉ x 10 viên nén,,,Viên,TCCS,"18 tháng",VD-14647-11,Công ty Cổ phần Dược Becamex,Việt Nam,"Đường NA6, KCN Mỹ Phước 2, thị trấn Mỹ Phước, huyện Bến Cát, Bình Dương",Công ty cổ phần dược Enlie,Việt Nam,"Đường NA6, KCN Mỹ Phước 2, thị trấn Mỹ Phước, huyện Bến Cát, Bình Dương",2021-12-31 14:58:21.002 +0700,2021-12-31 14:58:21.002 +0700,Việt Nam,Khác
