"id","from","to","createdAt","updatedAt"
131,發泡錠,foaming ingot,2021-04-19 11:25:25.158 +0700,2021-04-19 11:25:25.158 +0700
132,持續性藥效膜衣錠,continuous medicinal film-coated tablets,2021-04-19 11:25:32.499 +0700,2021-04-19 11:25:32.499 +0700
133,點眼膏劑,ointment,2021-04-19 11:25:49.033 +0700,2021-04-19 11:25:49.033 +0700
49,透析用液劑,dialysis agent,2021-04-19 11:16:05.632 +0700,2021-04-19 11:16:05.632 +0700
134,腸溶糖衣錠,enteric-coated sugar-coated tablets,2021-04-19 11:26:03.091 +0700,2021-04-19 11:26:03.091 +0700
135,外用粉劑,powder for external use,2021-04-19 11:26:09.112 +0700,2021-04-19 11:26:09.112 +0700
136,液劑,liquid,2021-04-19 11:26:17.797 +0700,2021-04-19 11:26:17.797 +0700
137,滅菌懸液注射劑,sterile suspension injection,2021-04-19 11:26:35.927 +0700,2021-04-19 11:26:35.927 +0700
138,預充填式注射劑,pre-filled injection,2021-04-19 11:26:59.712 +0700,2021-04-19 11:26:59.712 +0700
139,輸注液,infusion,2021-04-19 11:27:00.218 +0700,2021-04-19 11:27:00.218 +0700
56,咀嚼錠,chewing lock,2021-04-19 11:16:05.639 +0700,2021-04-19 11:16:05.639 +0700
140,皮下注射劑,subcutaneous injection,2021-04-19 11:27:17.510 +0700,2021-04-19 11:27:17.510 +0700
141,眼用懸浮液,ophthalmic suspension,2021-04-19 11:28:07.683 +0700,2021-04-19 11:28:07.683 +0700
59,凍晶注射劑,frozen crystal injection,2021-04-19 11:16:05.641 +0700,2021-04-19 11:16:05.641 +0700
142,粉劑,powder,2021-04-19 11:28:50.698 +0700,2021-04-19 11:28:50.698 +0700
143,體腔用液劑,liquid for body cavity,2021-04-19 11:28:57.918 +0700,2021-04-19 11:28:57.918 +0700
144,懸液用顆粒劑,granules for suspension,2021-04-19 11:29:20.491 +0700,2021-04-19 11:29:20.491 +0700
145,腸溶軟膠囊劑,enteric-coated soft capsules,2021-04-19 11:29:22.162 +0700,2021-04-19 11:29:22.162 +0700
146,糖漿用粉劑,powder for syrup,2021-04-19 11:29:32.047 +0700,2021-04-19 11:29:32.047 +0700
147,點眼懸液劑,eye drops,2021-04-19 11:29:35.052 +0700,2021-04-19 11:29:35.052 +0700
148,長效膜衣錠,long-acting film-coated tablets,2021-04-19 11:29:36.800 +0700,2021-04-19 11:29:36.800 +0700
149,口內膏,oral cream,2021-04-19 11:29:37.926 +0700,2021-04-19 11:29:37.926 +0700
150,氣化噴霧用溶液劑,solution for vaporization spray,2021-04-19 11:29:42.857 +0700,2021-04-19 11:29:42.857 +0700
151,鼻用吸入劑,nasal inhaler,2021-04-19 11:29:43.461 +0700,2021-04-19 11:29:43.461 +0700
152,鼻用氣化噴霧劑,vaporizing spray for nose,2021-04-19 11:30:05.030 +0700,2021-04-19 11:30:05.030 +0700
153,微粒膠囊,microcapsule,2021-04-19 11:30:30.996 +0700,2021-04-19 11:30:30.996 +0700
154,持續性糖衣錠,continuous dragee,2021-04-19 11:31:30.577 +0700,2021-04-19 11:31:30.577 +0700
155,內服乳劑,oral emulsion,2021-04-19 11:31:58.140 +0700,2021-04-19 11:31:58.140 +0700
156,鼻用噴液劑,nasal spray,2021-04-19 11:32:07.151 +0700,2021-04-19 11:32:07.151 +0700
157,陰道栓劑,vaginal suppositories,2021-04-19 11:32:15.846 +0700,2021-04-19 11:32:15.846 +0700
76,注射凝膠劑,injection gel,2021-04-19 11:16:05.651 +0700,2021-04-19 11:16:05.651 +0700
77,注射液,injection,2021-04-19 11:16:05.652 +0700,2021-04-19 11:16:05.652 +0700
158,緩釋微粒膠囊,sustained release microcapsules,2021-04-19 11:32:16.100 +0700,2021-04-19 11:32:16.100 +0700
79,口溶錠,mouth-melting lock,2021-04-19 11:16:05.655 +0700,2021-04-19 11:16:05.655 +0700
159,持續釋放口溶錠,sustained release oral tablets,2021-04-19 11:32:20.696 +0700,2021-04-19 11:32:20.696 +0700
160,靜脈點滴注射劑,intravenous drip,2021-04-19 11:32:24.949 +0700,2021-04-19 11:32:24.949 +0700
161,洗髮劑,shampoo,2021-04-19 11:32:37.449 +0700,2021-04-19 11:32:37.449 +0700
162,滴劑,drops,2021-04-19 11:32:42.998 +0700,2021-04-19 11:32:42.998 +0700
163,眼用凝膠劑,ophthalmic gel,2021-04-19 11:32:47.653 +0700,2021-04-19 11:32:47.653 +0700
164,藥膠布,medicated tape,2021-04-19 11:32:52.491 +0700,2021-04-19 11:32:52.491 +0700
165,油劑,oil,2021-04-19 11:32:53.493 +0700,2021-04-19 11:32:53.493 +0700
166,口腔崩散錠,oral disintegration tablet,2021-04-19 11:32:58.549 +0700,2021-04-19 11:32:58.549 +0700
167,顆粒劑,granules,2021-04-19 11:33:21.479 +0700,2021-04-19 11:33:21.479 +0700
89,腸溶膠囊劑,enteric-coated capsules,2021-04-19 11:16:05.661 +0700,2021-04-19 11:16:05.661 +0700
168,眼用軟膏劑,ophthalmic ointment,2021-04-19 11:33:43.546 +0700,2021-04-19 11:33:43.546 +0700
169,點耳液劑,ear drops,2021-04-19 11:33:47.979 +0700,2021-04-19 11:33:47.979 +0700
170,持續性釋放膜衣錠,sustained release film-coated tablets,2021-04-19 11:34:06.636 +0700,2021-04-19 11:34:06.636 +0700
171,乾粉吸入劑,dry powder inhaler,2021-04-19 11:34:13.095 +0700,2021-04-19 11:34:13.095 +0700
172,長效錠,long-acting tablets,2021-04-19 11:34:23.201 +0700,2021-04-19 11:34:23.201 +0700
173,鼻用噴液懸浮劑,nasal spray suspension,2021-04-19 11:34:29.235 +0700,2021-04-19 11:34:29.235 +0700
174,發泡顆粒劑,foamed particles,2021-04-19 11:34:49.543 +0700,2021-04-19 11:34:49.543 +0700
177,酊劑,tincture,2021-04-19 11:38:33.188 +0700,2021-04-19 11:38:33.188 +0700
183,口溶膜,mouth dissolving film,2021-04-19 11:42:32.261 +0700,2021-04-19 11:42:32.261 +0700
189,溶液劑,solution,2021-04-19 11:44:39.787 +0700,2021-04-19 11:44:39.787 +0700
175,凝膠劑,gel,2021-04-19 11:37:19.408 +0700,2021-04-19 11:37:19.408 +0700
176,細粒劑,granules,2021-04-19 11:37:33.714 +0700,2021-04-19 11:37:33.714 +0700
179,洗劑,lotion,2021-04-19 11:39:40.687 +0700,2021-04-19 11:39:40.687 +0700
188,粉狀吸入劑,powder inhalation,2021-04-19 11:44:39.258 +0700,2021-04-19 11:44:39.258 +0700
178,點鼻液劑,nasal drops,2021-04-19 11:39:12.085 +0700,2021-04-19 11:39:12.085 +0700
180,糖漿用顆粒劑,granules for syrup,2021-04-19 11:40:18.200 +0700,2021-04-19 11:40:18.200 +0700
181,灌洗劑,lavage,2021-04-19 11:40:40.493 +0700,2021-04-19 11:40:40.493 +0700
185,陰道用軟膠囊劑,soft capsules for vagina,2021-04-19 11:44:17.501 +0700,2021-04-19 11:44:17.501 +0700
186,滅菌乾粉懸液注射劑,sterilized dry powder suspension injection,2021-04-19 11:44:23.825 +0700,2021-04-19 11:44:23.825 +0700
182,陰道用凝膠劑,vaginal gel,2021-04-19 11:41:27.961 +0700,2021-04-19 11:41:27.961 +0700
184,外用氣化噴霧劑,external vaporization spray,2021-04-19 11:44:17.247 +0700,2021-04-19 11:44:17.247 +0700
187,舌下錠,sublingual lozenges,2021-04-19 11:44:35.981 +0700,2021-04-19 11:44:35.981 +0700
190,子宮內避孕器,intrauterine contraceptive device,2021-04-19 11:44:48.575 +0700,2021-04-19 11:44:48.575 +0700
191,口腔氣化噴霧劑,oral vaporization spray,2021-04-19 11:44:56.697 +0700,2021-04-19 11:44:56.697 +0700
192,口服懸液用粉劑,powder for oral suspension,2021-04-19 11:45:02.366 +0700,2021-04-19 11:45:02.366 +0700
193,腹膜透析用液劑,peritoneal dialysis liquid,2021-04-19 11:45:04.205 +0700,2021-04-19 11:45:04.205 +0700
194,噴霧劑,spray,2021-04-19 11:45:06.276 +0700,2021-04-19 11:45:06.276 +0700
195,口服持續懸液用顆粒,granules for oral sustained suspension,2021-04-19 11:45:28.627 +0700,2021-04-19 11:45:28.627 +0700
196,凍晶口溶錠,frozen crystal mouth melted ingot,2021-04-19 11:45:38.985 +0700,2021-04-19 11:45:38.985 +0700
197,浣腸劑,enema,2021-04-19 11:45:44.279 +0700,2021-04-19 11:45:44.279 +0700
198,口頰溶片,cheek dissolving tablets,2021-04-19 11:45:46.526 +0700,2021-04-19 11:45:46.526 +0700
199,吸入用膠囊劑,capsules for inhalation,2021-04-19 11:45:51.669 +0700,2021-04-19 11:45:51.669 +0700
200,植入劑,implant,2021-04-19 11:45:53.963 +0700,2021-04-19 11:45:53.963 +0700
201,持續性藥效肌肉注射,continuous medicinal effect intramuscular injection,2021-04-19 11:45:54.834 +0700,2021-04-19 11:45:54.834 +0700
202,無菌眼用液劑,sterile ophthalmic solution,2021-04-19 11:46:04.526 +0700,2021-04-19 11:46:04.526 +0700
203,眼用液劑,ophthalmic solution,2021-04-19 11:46:14.521 +0700,2021-04-19 11:46:14.521 +0700
204,口頰錠,cheek lock,2021-04-19 11:46:28.301 +0700,2021-04-19 11:46:28.301 +0700
205,緩釋膠囊,sustained release capsules,2021-04-19 11:46:33.341 +0700,2021-04-19 11:46:33.341 +0700
206,懸浮液用顆粒劑,granules for suspension,2021-04-19 11:46:46.739 +0700,2021-04-19 11:46:46.739 +0700
207,氣化噴霧劑,vaporized spray,2021-04-19 11:47:04.545 +0700,2021-04-19 11:47:04.545 +0700
208,口腔錠,oral lozenges,2021-04-19 11:47:46.801 +0700,2021-04-19 11:47:46.801 +0700
209,酏劑,elixirs,2021-04-19 11:50:51.110 +0700,2021-04-19 11:50:51.110 +0700
210,原料藥凝膠劑,bulk drug gel,2021-04-19 11:51:02.217 +0700,2021-04-19 11:51:02.217 +0700
211,口服液劑,oral liquid,2021-04-19 11:52:44.198 +0700,2021-04-19 11:52:44.198 +0700
212,乳膠劑,latex,2021-04-19 11:53:20.002 +0700,2021-04-19 11:53:20.002 +0700
213,外用懸液劑,topical suspension,2021-04-19 12:21:04.069 +0700,2021-04-19 12:21:04.069 +0700
214,持續性注射劑,continuous injection,2021-04-19 12:21:07.571 +0700,2021-04-19 12:21:07.571 +0700
215,실로텔서방캡슐100밀리그램(실로스타졸)_(0.1g/1캡슐),silotel sustained-release capsule 100mg (silostazol)_(0.1g/1 capsule),2021-04-19 14:01:47.853 +0700,2021-04-19 14:01:47.853 +0700
216,캡슐,capsule,2021-04-19 14:01:47.944 +0700,2021-04-19 14:01:47.944 +0700
217,토리손주사(톨페리손염산염),torisone injection (tolferisone hydrochloride),2021-04-19 14:01:48.190 +0700,2021-04-19 14:01:48.190 +0700
218,ml/앰플,ml/ampoule,2021-04-19 14:01:48.279 +0700,2021-04-19 14:01:48.279 +0700
219,아스텍인퓨전(엘-아스파라긴산-엘-오르니친),aztec infusion (l-aspartic acid-l-ornithine),2021-04-19 14:01:48.505 +0700,2021-04-19 14:01:48.505 +0700
220,솔토정(레보플록사신수화물)_(0.1g/1정),solto tablet (levofloxacin hydrate)_(0.1g/1 tablet),2021-04-19 14:01:48.753 +0700,2021-04-19 14:01:48.753 +0700
221,정,tablet,2021-04-19 14:01:48.826 +0700,2021-04-19 14:01:48.826 +0700
222,콤비도파서방정200/50밀리그램(레보도파/카르비도파),combidopa slow release 200/50 mg (levodopa/carbidopa),2021-04-19 14:01:49.002 +0700,2021-04-19 14:01:49.002 +0700
223,카슈트현탁액(폴리스티렌설폰산칼슘)_(5g/20ml),cassette suspension (calcium polystyrene sulfonate)_(5g/20ml),2021-04-19 14:01:49.517 +0700,2021-04-19 14:01:49.517 +0700
224,ml/포,ml/po,2021-04-19 14:01:49.605 +0700,2021-04-19 14:01:49.605 +0700
225,알츠펜정10밀리그램(도네페질염산염수화물)_(10.43mg/1정),alzfen tablet 10mg (donepezil hydrochloride hydrate)_(10.43mg/1 tablet),2021-04-19 14:01:49.937 +0700,2021-04-19 14:01:49.937 +0700
226,크라운아시클로버크림_(25g/500g),crown acyclovir cream_(25g/500g),2021-04-19 14:01:50.129 +0700,2021-04-19 14:01:50.129 +0700
227,g/병,g/bottle,2021-04-19 14:01:50.221 +0700,2021-04-19 14:01:50.221 +0700
228,레티진정(레보세티리진염산염)_(5mg/1정),retizine tablet (levocetirizine hydrochloride)_(5mg/1 tablet),2021-04-19 14:01:50.632 +0700,2021-04-19 14:01:50.632 +0700
229,베시케어정10밀리그램(솔리페나신숙신산염)_(10mg/1정),vesicare tablet 10mg (solifenacin succinate)_(10mg/1 tablet),2021-04-19 14:01:50.855 +0700,2021-04-19 14:01:50.855 +0700
230,카리메트산(폴리스티렌설폰산칼슘),carymethic acid (calcium polystyrene sulfonate),2021-04-19 14:01:51.048 +0700,2021-04-19 14:01:51.048 +0700
231,g,g,2021-04-19 14:01:51.097 +0700,2021-04-19 14:01:51.097 +0700
232,히알미니-디점안액(히알루론산나트륨)(1회용)_(0.81mg/0.45ml),hyalmini-d eye drops (sodium hyaluronate) (single use)_(0.81mg/0.45ml),2021-04-19 14:01:51.249 +0700,2021-04-19 14:01:51.249 +0700
233,ml/관,ml/tube,2021-04-19 14:01:51.349 +0700,2021-04-19 14:01:51.349 +0700
234,알파부틴연질캡슐,alpha butin soft capsule,2021-04-19 14:01:51.854 +0700,2021-04-19 14:01:51.854 +0700
235,제이옥틴정(티옥트산)_(0.2g/1정),j-octin tablet (thioctic acid)_(0.2g/1 tablet),2021-04-19 14:01:52.122 +0700,2021-04-19 14:01:52.122 +0700
236,비지센스주320(요오딕사놀),busy sense alcohol 320 (iodixanol),2021-04-19 14:01:52.319 +0700,2021-04-19 14:01:52.319 +0700
237,ml,ml,2021-04-19 14:01:52.365 +0700,2021-04-19 14:01:52.365 +0700
238,맥스미카정80/5밀리그램_(1정),max mica tablet 80/5mg_(1 tablet),2021-04-19 14:01:52.585 +0700,2021-04-19 14:01:52.585 +0700
239,노브카핀정(암로디핀말레산염)_(6.42mg/1정),novkapine tablet (amlodipine maleate)_(6.42mg/1 tablet),2021-04-19 14:01:52.787 +0700,2021-04-19 14:01:52.787 +0700
240,카르베롤서방캡슐32밀리그램(카르베딜롤)_(32mg/1캡슐),carverol extended-release capsules 32mg (carvedilol)_(32mg/1capsule),2021-04-19 14:01:52.950 +0700,2021-04-19 14:01:52.950 +0700
241,아세노펜이알서방정(아세트아미노펜)_(0.65g/1정),acenophene r. sustained-release tablet (acetaminophen)_(0.65g/1 tablet),2021-04-19 14:01:53.171 +0700,2021-04-19 14:01:53.171 +0700
242,디솔린정(메틸프레드니솔론)_(4mg/1정),disoline tablet (methylprednisolone)_(4mg/1 tablet),2021-04-19 14:01:53.409 +0700,2021-04-19 14:01:53.409 +0700
243,자디텐옵타에스디유점안액(푸마르산케토티펜),zaditen opta sdyu eye drops (fumaric acid ketotifen),2021-04-19 14:01:53.554 +0700,2021-04-19 14:01:53.554 +0700
244,ml/병,ml/bottle,2021-04-19 14:01:53.651 +0700,2021-04-19 14:01:53.651 +0700
245,아발탄정5/80밀리그램_(1정),avaltan tablet 5/80mg_(1 tablet),2021-04-19 14:01:53.917 +0700,2021-04-19 14:01:53.917 +0700
246,프로슈어300주(이오프로마이드)_(62.34g/100ml),prosure 300 weeks (eopromide)_(62.34g/100ml),2021-04-19 14:01:54.078 +0700,2021-04-19 14:01:54.078 +0700
247,리브감마에스앤주[말토즈첨가사람면역글로불린(ph4.25)],live gamma s&z [human immunoglobulin added with maltose (ph4.25)],2021-04-19 14:01:54.259 +0700,2021-04-19 14:01:54.259 +0700
248,세비텍정5/40밀리그램_(1정),sevitech tablet 5/40mg_(1 tablet),2021-04-19 14:01:54.741 +0700,2021-04-19 14:01:54.741 +0700
249,도베실정(도베실산칼슘),dobesil tablet (calcium dobecylate),2021-04-19 14:01:55.143 +0700,2021-04-19 14:01:55.143 +0700
250,리세나정(리세드론산나트륨2.5수화물)_(40.2mg/1정),risena tablet (sodium risedronate 2.5 hydrate)_(40.2mg/1 tablet),2021-04-19 14:01:55.299 +0700,2021-04-19 14:01:55.299 +0700
251,다이보넥스크림(칼시포트리올)_(1.5mg/30g),divoneck cream (calcipotriol)_(1.5mg/30g),2021-04-19 14:01:55.694 +0700,2021-04-19 14:01:55.694 +0700
252,g/개,g/pcs,2021-04-19 14:01:55.787 +0700,2021-04-19 14:01:55.787 +0700
253,유니알점안액(히알루론산나트륨)_(5mg/5ml),unial eye drops (sodium hyaluronate)_(5mg/5ml),2021-04-19 14:01:56.013 +0700,2021-04-19 14:01:56.013 +0700
254,아드바그랍서방캡슐1밀리그램(타크로리무스)_(1mg/1캡슐),adva grab seobang capsule 1mg (tacrolimus)_(1mg/1capsule),2021-04-19 14:01:56.227 +0700,2021-04-19 14:01:56.227 +0700
255,이토피드정(이토프리드염산염)_(50mg/1정),itopide tablet (itopride hydrochloride)_(50mg/1 tablet),2021-04-19 14:01:56.471 +0700,2021-04-19 14:01:56.471 +0700
259,베베라민주,bebera democracy,2021-04-19 14:01:57.276 +0700,2021-04-19 14:01:57.276 +0700
256,듀오레이주사270밀리그램(요오딕사놀),duo-ray injection 270 mg (iodixanol),2021-04-19 14:01:56.669 +0700,2021-04-19 14:01:56.669 +0700
271,세레브레인주(돼지뇌펩티드)_(2.152g/10ml),celebrainju (pork brain peptide)_(2.152g/10ml),2021-04-19 14:02:00.290 +0700,2021-04-19 14:02:00.290 +0700
288,카이트릴주(그라니세트론염산염)_(1.12mg/1ml),chitrile (granisetron hydrochloride)_(1.12mg/1ml),2021-04-19 14:02:03.376 +0700,2021-04-19 14:02:03.376 +0700
290,로피바칸주2밀리그램/밀리리터(로피바카인염산염)_(21mg/10ml),lopivacanju 2mg/milliliter (ropivacaine hydrochloride)_(21mg/10ml),2021-04-19 14:02:03.728 +0700,2021-04-19 14:02:03.728 +0700
302,라미핀크림(염산테르비나핀),ramipin cream (terbinafine hydrochloride),2021-04-19 14:02:07.055 +0700,2021-04-19 14:02:07.055 +0700
257,아토르바정40밀리그램(아토르바스타틴칼슘)_(41.46mg/1정),atorva tablet 40mg (atorvastatin calcium)_(41.46mg/1 tablet),2021-04-19 14:01:56.884 +0700,2021-04-19 14:01:56.884 +0700
262,아토젯정10/40밀리그램_(1정),atojet tablet 10/40mg_(1 tablet),2021-04-19 14:01:57.748 +0700,2021-04-19 14:01:57.748 +0700
266,"헴리브라피하주사(에미시주맙, 유전자재조합)_(0.15g/1ml)","hemlibrapi subjugation (emisizumab, genetic recombination)_(0.15g/1ml)",2021-04-19 14:01:58.666 +0700,2021-04-19 14:01:58.666 +0700
270,조메타레디주사액4밀리그램/100밀리리터(졸레드론산일수화물)_(4.264mg/100ml),zoledronic acid monohydrate 4mg/100ml (zoledronic acid monohydrate)_(4.264mg/100ml),2021-04-19 14:02:00.050 +0700,2021-04-19 14:02:00.050 +0700
274,올르메틴정20/10밀리그램_(1정),olmethine tablet 20/10mg_(1 tablet),2021-04-19 14:02:00.715 +0700,2021-04-19 14:02:00.715 +0700
277,엘코프캡슐(에르도스테인)_(0.3g/1캡슐),elcorp capsule (erdostein)_(0.3g/1 capsule),2021-04-19 14:02:01.363 +0700,2021-04-19 14:02:01.363 +0700
280,글로게이트정(알마게이트)_(0.5g/1정),glogate tablet (almagate)_(0.5g/1 tablet),2021-04-19 14:02:01.939 +0700,2021-04-19 14:02:01.939 +0700
283,알파스타틴정10밀리그램(아토르바스타틴칼슘삼수화물)_(10.85mg/1정),alphastatin tablet 10mg (atorvastatin calcium trihydrate)_(10.85mg/1 tablet),2021-04-19 14:02:02.459 +0700,2021-04-19 14:02:02.459 +0700
293,쎄르파캡슐100mg(세레콕시브)_(0.1g/1캡슐),serpa capsule 100mg (celecoxib)_(0.1g/1 capsule),2021-04-19 14:02:04.654 +0700,2021-04-19 14:02:04.654 +0700
297,투투스타정80/5밀리그램_(1정),two two star tablets 80/5 mg_(1 tablet),2021-04-19 14:02:05.879 +0700,2021-04-19 14:02:05.879 +0700
258,니자맥스캡슐150밀리그램(니자티딘)_(0.15g/1캡슐),nizamax capsule 150mg (nizatidine)_(0.15g/1 capsule),2021-04-19 14:01:57.084 +0700,2021-04-19 14:01:57.084 +0700
261,헌터라제(이두설파제-베타)_(6mg/3ml),hunterase (idusulfaze-beta)_(6mg/3ml),2021-04-19 14:01:57.541 +0700,2021-04-19 14:01:57.541 +0700
269,넥사졸캡슐40밀리그램(에스오메프라졸)_(40mg/1캡슐),nexazole capsule 40mg (esomeprazole)_(40mg/1 capsule),2021-04-19 14:01:59.839 +0700,2021-04-19 14:01:59.839 +0700
272,엠비엘유리콜레스테롤테스트,mbl free cholesterol test,2021-04-19 14:02:00.446 +0700,2021-04-19 14:02:00.446 +0700
273,test,test,2021-04-19 14:02:00.493 +0700,2021-04-19 14:02:00.493 +0700
286,"박타신주1.5그램(설박탐나트륨,암피실린나트륨)_(1병)","bactashinju 1.5 grams (sodium sulbactam, sodium ampicillin)_(1 bottle)",2021-04-19 14:02:03.160 +0700,2021-04-19 14:02:03.160 +0700
287,병,bottle,2021-04-19 14:02:03.207 +0700,2021-04-19 14:02:03.207 +0700
292,세프녹스주1그람(세프미녹스나트륨),cepnox week 1 gram (cefnox sodium),2021-04-19 14:02:04.441 +0700,2021-04-19 14:02:04.441 +0700
296,알티정480밀리그램(알티옥트산트로메타민염)_(0.48g/1정),alti tablet 480 milligrams (altioctic acid tromethamine salt)_(0.48g/1 tablet),2021-04-19 14:02:05.360 +0700,2021-04-19 14:02:05.360 +0700
298,에니디핀정(암로디핀말레산염)_(6.42mg/1정),enidipine tablet (amlodipine maleate)_(6.42mg/1 tablet),2021-04-19 14:02:06.138 +0700,2021-04-19 14:02:06.138 +0700
301,콜레리스정20밀리그램(로수바스타틴칼슘)_(20.8mg/1정),choleris tablets 20mg (rosuvastatin calcium)_(20.8mg/1 tablet),2021-04-19 14:02:06.849 +0700,2021-04-19 14:02:06.849 +0700
260,ml/백,ml/bag,2021-04-19 14:01:57.382 +0700,2021-04-19 14:01:57.382 +0700
263,씨에이피디2복강투석액,cpd2 peritoneal dialysis solution,2021-04-19 14:01:58.003 +0700,2021-04-19 14:01:58.003 +0700
264,ml/2백,ml/2 bag,2021-04-19 14:01:58.092 +0700,2021-04-19 14:01:58.092 +0700
267,리카뉴로서방정300mg(프레가발린)_(0.3g/1정),licanyu as a tablet 300mg (pregabalin)_(0.3g/1 tablet),2021-04-19 14:01:58.976 +0700,2021-04-19 14:01:58.976 +0700
276,클로비드정(클로피도그렐베실산염)_(0.11186g/1정),clovid tablet (clopidogrel besylate)_(0.11186g/1 tablet),2021-04-19 14:02:01.168 +0700,2021-04-19 14:02:01.168 +0700
