"id","name","createdAt","updatedAt","shortName"
330402,aldosterone,2021-07-09 10:47:40.397 +0700,2021-07-09 10:47:40.397 +0700,""
330403,alefacept,2021-07-09 10:47:40.397 +0700,2021-07-09 10:47:40.397 +0700,""
330404,alemtuzumab,2021-07-09 10:47:40.398 +0700,2021-07-09 10:47:40.398 +0700,""
330405,alendronat,2021-07-09 10:47:40.398 +0700,2021-07-09 10:47:40.398 +0700,""
330407,alfa1 antitrypsin,2021-07-09 10:47:40.399 +0700,2021-07-09 10:47:40.399 +0700,""
330408,alfacalcidol,2021-07-09 10:47:40.400 +0700,2021-07-09 10:47:40.400 +0700,""
330409,alfaxalone,2021-07-09 10:47:40.400 +0700,2021-07-09 10:47:40.400 +0700,""
330410,alfentanil,2021-07-09 10:47:40.400 +0700,2021-07-09 10:47:40.400 +0700,""
330411,alfuzosin,2021-07-09 10:47:40.401 +0700,2021-07-09 10:47:40.401 +0700,""
330412,algeldrate,2021-07-09 10:47:40.401 +0700,2021-07-09 10:47:40.401 +0700,""
330414,alglucerase,2021-07-09 10:47:40.401 +0700,2021-07-09 10:47:40.401 +0700,""
330415,alglucosidase alfa,2021-07-09 10:47:40.402 +0700,2021-07-09 10:47:40.402 +0700,""
330417,alipogene tiparvovec,2021-07-09 10:47:40.402 +0700,2021-07-09 10:47:40.402 +0700,""
330418,aliskiren,2021-07-09 10:47:40.402 +0700,2021-07-09 10:47:40.402 +0700,""
330419,alizapride,2021-07-09 10:47:40.403 +0700,2021-07-09 10:47:40.403 +0700,""
330420,allantoin,2021-07-09 10:47:40.403 +0700,2021-07-09 10:47:40.403 +0700,""
330421,alitretinoin,2021-07-09 10:47:40.403 +0700,2021-07-09 10:47:40.403 +0700,""
330422,allobarbital,2021-07-09 10:47:40.404 +0700,2021-07-09 10:47:40.404 +0700,""
330423,allopurinol,2021-07-09 10:47:40.404 +0700,2021-07-09 10:47:40.404 +0700,""
330424,allylestrenol,2021-07-09 10:47:40.404 +0700,2021-07-09 10:47:40.404 +0700,""
330425,almagate,2021-07-09 10:47:40.405 +0700,2021-07-09 10:47:40.405 +0700,""
330426,almasilate,2021-07-09 10:47:40.408 +0700,2021-07-09 10:47:40.408 +0700,""
330427,alminoprofen,2021-07-09 10:47:40.409 +0700,2021-07-09 10:47:40.409 +0700,""
330428,almitrine,2021-07-09 10:47:40.409 +0700,2021-07-09 10:47:40.409 +0700,""
330429,almotriptan,2021-07-09 10:47:40.410 +0700,2021-07-09 10:47:40.410 +0700,""
330430,aloglutamol,2021-07-09 10:47:40.413 +0700,2021-07-09 10:47:40.413 +0700,""
330431,alpha-terpineol,2021-07-09 10:47:40.414 +0700,2021-07-09 10:47:40.414 +0700,""
330432,alprazolam,2021-07-09 10:47:40.414 +0700,2021-07-09 10:47:40.414 +0700,""
330433,aloxiprin,2021-07-09 10:47:40.414 +0700,2021-07-09 10:47:40.414 +0700,""
330435,alprenolol,2021-07-09 10:47:40.415 +0700,2021-07-09 10:47:40.415 +0700,""
330436,alogliptin,2021-07-09 10:47:40.415 +0700,2021-07-09 10:47:40.415 +0700,""
330438,alsactide,2021-07-09 10:47:40.416 +0700,2021-07-09 10:47:40.416 +0700,""
330439,alteplase,2021-07-09 10:47:40.416 +0700,2021-07-09 10:47:40.416 +0700,""
330440,althea root,2021-07-09 10:47:40.416 +0700,2021-07-09 10:47:40.416 +0700,""
330441,alprostadil,2021-07-09 10:47:40.417 +0700,2021-07-09 10:47:40.417 +0700,""
330442,alphaprodine,2021-07-09 10:47:40.417 +0700,2021-07-09 10:47:40.417 +0700,""
330379,adipiodone,2021-07-09 10:47:40.384 +0700,2021-07-09 10:47:40.384 +0700,"[""meglumin""]"
330322,coagulation factor vii,2021-07-09 10:47:40.240 +0700,2021-07-09 10:47:40.240 +0700,"[""yếu tố viia""]"
330320,medicinal charcoal,2021-07-09 10:47:40.237 +0700,2021-07-09 10:47:40.237 +0700,"[""than hoạt""]"
330323,silver sulfadiazine,2021-07-09 10:47:40.230 +0700,2021-07-09 10:47:40.230 +0700,"[""bạc sulfadiazine""]"
330366,acid clavulanic,2021-07-09 10:47:40.318 +0700,2021-07-09 10:47:40.318 +0700,"[""clavulanic acid"", ""axit clavulanic"", ""clavulanic axit""]"
330345,acetohydroxamic acid,2021-07-09 10:47:40.263 +0700,2021-07-09 10:47:40.263 +0700,"[""acid acetohydroxamic""]"
330354,acetrizoic acid,2021-07-09 10:47:40.266 +0700,2021-07-09 10:47:40.266 +0700,"[""acid acetrizoic""]"
330377,adenosine,2021-07-09 10:47:40.383 +0700,2021-07-09 10:47:40.383 +0700,"[""adenosin triphosphat""]"
330413,alginic acid,2021-07-09 10:47:40.401 +0700,2021-07-09 10:47:40.401 +0700,"[""acid alginic""]"
330434,alpha lipoic acid,2021-07-09 10:47:40.415 +0700,2021-07-09 10:47:40.415 +0700,"[""acid alpha lipoic""]"
330325,zinc sulfate,2021-07-09 10:47:40.238 +0700,2021-07-09 10:47:40.238 +0700,"[""kẽm sulfate"", ""kẽm sulfat""]"
330406,acid alendronic,2021-07-09 10:47:40.398 +0700,2021-07-09 10:47:40.398 +0700,"[""acid alendronic"", ""alendronic acid""]"
330352,acefylline piperazine,2021-07-09 10:47:40.262 +0700,2021-07-09 10:47:40.262 +0700,"[""acephyllin piperazin""]"
330346,acetylcystein,2021-07-09 10:47:40.263 +0700,2021-07-09 10:47:40.263 +0700,"[""acetylcysteine"", ""acetyl cystein""]"
330416,alimemazin,2021-07-09 10:47:40.402 +0700,2021-07-09 10:47:40.402 +0700,"[""alimemazine""]"
330332,acamprosate,2021-07-09 10:47:40.254 +0700,2021-07-09 10:47:40.254 +0700,""
330437,alosetron,2021-07-09 10:47:40.415 +0700,2021-07-09 10:47:40.415 +0700,""
330443,altretamine,2021-07-09 10:47:40.417 +0700,2021-07-09 10:47:40.417 +0700,""
330490,amlexanox,2021-07-09 10:47:40.444 +0700,2021-07-09 10:47:40.444 +0700,""
330539,aprotinin,2021-07-09 10:47:40.467 +0700,2021-07-09 10:47:40.467 +0700,""
330584,azlocillin,2021-07-09 10:47:40.497 +0700,2021-07-09 10:47:40.497 +0700,""
330633,benzethonium chloride,2021-07-09 10:47:40.519 +0700,2021-07-09 10:47:40.519 +0700,""
330682,bisacodyl,2021-07-09 10:47:40.542 +0700,2021-07-09 10:47:40.542 +0700,""
330730,bufexamac,2021-07-09 10:47:40.564 +0700,2021-07-09 10:47:40.564 +0700,""
330778,calcium aminosalicylate,2021-07-09 10:47:40.582 +0700,2021-07-09 10:47:40.582 +0700,""
330827,carbohydrates,2021-07-09 10:47:40.602 +0700,2021-07-09 10:47:40.602 +0700,""
330924,chloralodol,2021-07-09 10:47:40.652 +0700,2021-07-09 10:47:40.652 +0700,""
330973,ciclobendazole,2021-07-09 10:47:40.675 +0700,2021-07-09 10:47:40.675 +0700,""
331022,clodantoin,2021-07-09 10:47:40.702 +0700,2021-07-09 10:47:40.702 +0700,""
331072,colchicine,2021-07-09 10:47:40.721 +0700,2021-07-09 10:47:40.721 +0700,""
331151,darunavir,2021-07-09 10:47:40.757 +0700,2021-07-09 10:47:40.757 +0700,""
331197,dexbrompheniramine,2021-07-09 10:47:40.773 +0700,2021-07-09 10:47:40.773 +0700,""
331244,dienogest,2021-07-09 10:47:40.791 +0700,2021-07-09 10:47:40.791 +0700,""
331283,dimemorfan,2021-07-09 10:47:40.808 +0700,2021-07-09 10:47:40.808 +0700,""
330875,cefepim,2021-07-09 10:47:40.633 +0700,2021-07-09 10:47:40.633 +0700,"[""cefepime""]"
330444,alum,2021-07-09 10:47:40.417 +0700,2021-07-09 10:47:40.417 +0700,""
330533,arbekacin,2021-07-09 10:47:40.466 +0700,2021-07-09 10:47:40.466 +0700,""
330585,aztreonam,2021-07-09 10:47:40.498 +0700,2021-07-09 10:47:40.498 +0700,""
330634,benzfetamine (benzphetamine),2021-07-09 10:47:40.519 +0700,2021-07-09 10:47:40.519 +0700,""
330683,bismuth,2021-07-09 10:47:40.543 +0700,2021-07-09 10:47:40.543 +0700,""
330731,buflomedil,2021-07-09 10:47:40.564 +0700,2021-07-09 10:47:40.564 +0700,""
330779,calcium carbimide,2021-07-09 10:47:40.582 +0700,2021-07-09 10:47:40.582 +0700,""
330828,carbomer,2021-07-09 10:47:40.603 +0700,2021-07-09 10:47:40.603 +0700,""
330876,cefetamet,2021-07-09 10:47:40.633 +0700,2021-07-09 10:47:40.633 +0700,""
330925,chlorambucil,2021-07-09 10:47:40.652 +0700,2021-07-09 10:47:40.652 +0700,""
330974,ciclonicate,2021-07-09 10:47:40.675 +0700,2021-07-09 10:47:40.675 +0700,""
331023,clodronat,2021-07-09 10:47:40.702 +0700,2021-07-09 10:47:40.702 +0700,""
331073,colecalciferol,2021-07-09 10:47:40.722 +0700,2021-07-09 10:47:40.722 +0700,""
331198,dexchlorpheniramine,2021-07-09 10:47:40.773 +0700,2021-07-09 10:47:40.773 +0700,""
331245,diethyl ether,2021-07-09 10:47:40.792 +0700,2021-07-09 10:47:40.792 +0700,""
331284,dimenhydrinat,2021-07-09 10:47:40.808 +0700,2021-07-09 10:47:40.808 +0700,""
330491,amlodipin,2021-07-09 10:47:40.444 +0700,2021-07-09 10:47:40.444 +0700,"[""amlodipine""]"
331152,dasatinib,2021-07-09 10:47:40.757 +0700,2021-07-09 10:47:40.757 +0700,""
330492,ammonium chloride,2021-07-09 10:47:40.445 +0700,2021-07-09 10:47:40.445 +0700,""
330535,arbutamine,2021-07-09 10:47:40.467 +0700,2021-07-09 10:47:40.467 +0700,""
330586,bacampicillin,2021-07-09 10:47:40.498 +0700,2021-07-09 10:47:40.498 +0700,""
330635,benzilone,2021-07-09 10:47:40.520 +0700,2021-07-09 10:47:40.520 +0700,""
330684,bisoprolol,2021-07-09 10:47:40.543 +0700,2021-07-09 10:47:40.543 +0700,""
330732,buformin,2021-07-09 10:47:40.564 +0700,2021-07-09 10:47:40.564 +0700,""
330780,calcium chloride,2021-07-09 10:47:40.583 +0700,2021-07-09 10:47:40.583 +0700,""
330877,cefixime,2021-07-09 10:47:40.634 +0700,2021-07-09 10:47:40.634 +0700,""
330926,chlorbenzoxamine,2021-07-09 10:47:40.653 +0700,2021-07-09 10:47:40.653 +0700,""
330975,ciclopirox,2021-07-09 10:47:40.675 +0700,2021-07-09 10:47:40.675 +0700,""
331074,colesevelam,2021-07-09 10:47:40.722 +0700,2021-07-09 10:47:40.722 +0700,""
331199,dexetimide,2021-07-09 10:47:40.774 +0700,2021-07-09 10:47:40.774 +0700,""
331246,diethylcarbamazine,2021-07-09 10:47:40.792 +0700,2021-07-09 10:47:40.792 +0700,""
331285,dimercaprol,2021-07-09 10:47:40.809 +0700,2021-07-09 10:47:40.809 +0700,""
330445,aluminium acetoacetate,2021-07-09 10:47:40.418 +0700,2021-07-09 10:47:40.418 +0700,"[""nhôm acetoacetate""]"
331153,soya-bean oil,2021-07-09 10:47:40.758 +0700,2021-07-09 10:47:40.758 +0700,"[""dầu đậu nành""]"
331024,clodronic acid,2021-07-09 10:47:40.702 +0700,2021-07-09 10:47:40.702 +0700,"[""acid clodronic""]"
330829,carbon dioxide,2021-07-09 10:47:40.603 +0700,2021-07-09 10:47:40.603 +0700,"[""cacbon dioxit""]"
330493,amobarbital,2021-07-09 10:47:40.446 +0700,2021-07-09 10:47:40.446 +0700,""
330538,argatroban,2021-07-09 10:47:40.467 +0700,2021-07-09 10:47:40.467 +0700,""
330636,benziodarone,2021-07-09 10:47:40.520 +0700,2021-07-09 10:47:40.520 +0700,""
330685,bisoxatin,2021-07-09 10:47:40.544 +0700,2021-07-09 10:47:40.544 +0700,""
330733,bufylline,2021-07-09 10:47:40.565 +0700,2021-07-09 10:47:40.565 +0700,""
330781,calcium citrate,2021-07-09 10:47:40.583 +0700,2021-07-09 10:47:40.583 +0700,""
330878,cefmenoxime,2021-07-09 10:47:40.634 +0700,2021-07-09 10:47:40.634 +0700,""
330927,chlorcyclizine,2021-07-09 10:47:40.654 +0700,2021-07-09 10:47:40.654 +0700,""
330976,ciclosporin,2021-07-09 10:47:40.676 +0700,2021-07-09 10:47:40.676 +0700,""
331025,clofarabine,2021-07-09 10:47:40.702 +0700,2021-07-09 10:47:40.702 +0700,""
331075,colestilan,2021-07-09 10:47:40.723 +0700,2021-07-09 10:47:40.723 +0700,""
331108,cyanocobalamin tannin complex,2021-07-09 10:47:40.737 +0700,2021-07-09 10:47:40.737 +0700,""
331154,daunorubicin,2021-07-09 10:47:40.758 +0700,2021-07-09 10:47:40.758 +0700,""
331200,dexfenfluramine,2021-07-09 10:47:40.775 +0700,2021-07-09 10:47:40.775 +0700,""
331247,diethylphtalat,2021-07-09 10:47:40.793 +0700,2021-07-09 10:47:40.793 +0700,""
331286,dimetacrine,2021-07-09 10:47:40.809 +0700,2021-07-09 10:47:40.809 +0700,""
330587,bạch cầu,2021-07-09 10:47:40.498 +0700,2021-07-09 10:47:40.498 +0700,"[""leukẽmia""]"
330497,amodiaquine,2021-07-09 10:47:40.447 +0700,2021-07-09 10:47:40.447 +0700,""
330541,arginine glutamate,2021-07-09 10:47:40.470 +0700,2021-07-09 10:47:40.470 +0700,""
330588,bacitracin,2021-07-09 10:47:40.499 +0700,2021-07-09 10:47:40.499 +0700,""
330637,benznidazole,2021-07-09 10:47:40.520 +0700,2021-07-09 10:47:40.520 +0700,""
330686,bithionol,2021-07-09 10:47:40.544 +0700,2021-07-09 10:47:40.544 +0700,""
330734,bumadizone,2021-07-09 10:47:40.565 +0700,2021-07-09 10:47:40.565 +0700,""
330782,calcium citrate lysine complex,2021-07-09 10:47:40.583 +0700,2021-07-09 10:47:40.583 +0700,""
330831,carboplatin,2021-07-09 10:47:40.604 +0700,2021-07-09 10:47:40.604 +0700,""
330879,cefmetazole,2021-07-09 10:47:40.635 +0700,2021-07-09 10:47:40.635 +0700,""
330928,chlordiazepoxide,2021-07-09 10:47:40.654 +0700,2021-07-09 10:47:40.654 +0700,""
330977,cidofovir,2021-07-09 10:47:40.676 +0700,2021-07-09 10:47:40.676 +0700,""
331026,clofazimine,2021-07-09 10:47:40.703 +0700,2021-07-09 10:47:40.703 +0700,""
331076,colestipol,2021-07-09 10:47:40.723 +0700,2021-07-09 10:47:40.723 +0700,""
331109,cyclandelate,2021-07-09 10:47:40.737 +0700,2021-07-09 10:47:40.737 +0700,""
331155,deanol,2021-07-09 10:47:40.758 +0700,2021-07-09 10:47:40.758 +0700,""
331201,dexibuprofen,2021-07-09 10:47:40.775 +0700,2021-07-09 10:47:40.775 +0700,""
331248,diethylstilbestrol,2021-07-09 10:47:40.793 +0700,2021-07-09 10:47:40.793 +0700,""
331304,diosmin,2021-07-09 10:47:40.816 +0700,2021-07-09 10:47:40.816 +0700,""
330447,aluminium chloride,2021-07-09 10:47:40.418 +0700,2021-07-09 10:47:40.418 +0700,"[""nhôm chloride""]"
330494,amorolfine,2021-07-09 10:47:40.446 +0700,2021-07-09 10:47:40.446 +0700,""
330589,baclofen,2021-07-09 10:47:40.499 +0700,2021-07-09 10:47:40.499 +0700,""
330638,benzocaine,2021-07-09 10:47:40.521 +0700,2021-07-09 10:47:40.521 +0700,""
330688,bitolterol,2021-07-09 10:47:40.546 +0700,2021-07-09 10:47:40.546 +0700,""
330735,bumetanide,2021-07-09 10:47:40.565 +0700,2021-07-09 10:47:40.565 +0700,""
330783,calcium compounds,2021-07-09 10:47:40.584 +0700,2021-07-09 10:47:40.584 +0700,""
330832,carboprost,2021-07-09 10:47:40.605 +0700,2021-07-09 10:47:40.605 +0700,""
330880,cefminox,2021-07-09 10:47:40.635 +0700,2021-07-09 10:47:40.635 +0700,""
330929,chlorhexidine,2021-07-09 10:47:40.655 +0700,2021-07-09 10:47:40.655 +0700,""
331027,clofedanol,2021-07-09 10:47:40.703 +0700,2021-07-09 10:47:40.703 +0700,""
331077,colestyramine,2021-07-09 10:47:40.723 +0700,2021-07-09 10:47:40.723 +0700,""
331110,cyclizine,2021-07-09 10:47:40.738 +0700,2021-07-09 10:47:40.738 +0700,""
331156,debrisoquine,2021-07-09 10:47:40.759 +0700,2021-07-09 10:47:40.759 +0700,""
331202,dexketoprofen,2021-07-09 10:47:40.775 +0700,2021-07-09 10:47:40.775 +0700,""
331249,diethyltoluamide,2021-07-09 10:47:40.794 +0700,2021-07-09 10:47:40.794 +0700,""
330448,aluminium chlorohydrate,2021-07-09 10:47:40.419 +0700,2021-07-09 10:47:40.419 +0700,"[""nhôm chlorohydrate""]"
331307,diphenhydramine,2021-07-09 10:47:40.817 +0700,2021-07-09 10:47:40.817 +0700,"[""diphenhydramin hydroclorid"", ""diphenhydramin hcl""]"
330540,arginine,2021-07-09 10:47:40.468 +0700,2021-07-09 10:47:40.468 +0700,"[""arginine hydrochloride"", ""arginin hydroclorid""]"
330978,cilansetron,2021-07-09 10:47:40.677 +0700,2021-07-09 10:47:40.677 +0700,""
330495,amoxapine,2021-07-09 10:47:40.446 +0700,2021-07-09 10:47:40.446 +0700,""
330546,argipressin,2021-07-09 10:47:40.471 +0700,2021-07-09 10:47:40.471 +0700,""
330590,balsalazide,2021-07-09 10:47:40.499 +0700,2021-07-09 10:47:40.499 +0700,""
330639,benzoctamine,2021-07-09 10:47:40.522 +0700,2021-07-09 10:47:40.522 +0700,""
330687,bivalirudin,2021-07-09 10:47:40.546 +0700,2021-07-09 10:47:40.546 +0700,""
330736,bunaftine,2021-07-09 10:47:40.565 +0700,2021-07-09 10:47:40.565 +0700,""
330784,calcium dobesilate,2021-07-09 10:47:40.584 +0700,2021-07-09 10:47:40.584 +0700,""
330833,carboquone,2021-07-09 10:47:40.605 +0700,2021-07-09 10:47:40.605 +0700,""
330881,cefodizime,2021-07-09 10:47:40.636 +0700,2021-07-09 10:47:40.636 +0700,""
330930,chlormadinone,2021-07-09 10:47:40.655 +0700,2021-07-09 10:47:40.655 +0700,""
330979,cilastatin,2021-07-09 10:47:40.678 +0700,2021-07-09 10:47:40.678 +0700,""
331028,clofenamide,2021-07-09 10:47:40.703 +0700,2021-07-09 10:47:40.703 +0700,""
331078,colextran,2021-07-09 10:47:40.724 +0700,2021-07-09 10:47:40.724 +0700,""
331111,cyclobarbital,2021-07-09 10:47:40.739 +0700,2021-07-09 10:47:40.739 +0700,""
331157,decamethrin,2021-07-09 10:47:40.759 +0700,2021-07-09 10:47:40.759 +0700,""
331203,dexlansoprazole,2021-07-09 10:47:40.776 +0700,2021-07-09 10:47:40.776 +0700,""
331250,difemerine,2021-07-09 10:47:40.794 +0700,2021-07-09 10:47:40.794 +0700,""
331306,diphenadione,2021-07-09 10:47:40.817 +0700,2021-07-09 10:47:40.817 +0700,""
330449,aluminium clofibrate,2021-07-09 10:47:40.419 +0700,2021-07-09 10:47:40.419 +0700,"[""nhôm clofibrate""]"
330544,aripiprazole,2021-07-09 10:47:40.471 +0700,2021-07-09 10:47:40.471 +0700,""
330591,bambuterol,2021-07-09 10:47:40.499 +0700,2021-07-09 10:47:40.499 +0700,""
330640,benzododecinium,2021-07-09 10:47:40.523 +0700,2021-07-09 10:47:40.523 +0700,""
330689,bleomycin,2021-07-09 10:47:40.546 +0700,2021-07-09 10:47:40.546 +0700,""
330737,buphenine,2021-07-09 10:47:40.566 +0700,2021-07-09 10:47:40.566 +0700,""
330785,calcium folinate,2021-07-09 10:47:40.584 +0700,2021-07-09 10:47:40.584 +0700,""
330834,carboxymethylcellulose,2021-07-09 10:47:40.606 +0700,2021-07-09 10:47:40.606 +0700,""
330882,cefonicid,2021-07-09 10:47:40.636 +0700,2021-07-09 10:47:40.636 +0700,""
330931,chlormethine,2021-07-09 10:47:40.656 +0700,2021-07-09 10:47:40.656 +0700,""
330980,cilazapril,2021-07-09 10:47:40.679 +0700,2021-07-09 10:47:40.679 +0700,""
331029,clofenotane,2021-07-09 10:47:40.703 +0700,2021-07-09 10:47:40.703 +0700,""
331079,colfosceril palmitate,2021-07-09 10:47:40.724 +0700,2021-07-09 10:47:40.724 +0700,""
331112,cyclobenzaprine,2021-07-09 10:47:40.739 +0700,2021-07-09 10:47:40.739 +0700,""
331158,decitabine,2021-07-09 10:47:40.760 +0700,2021-07-09 10:47:40.760 +0700,""
331211,dextranomer,2021-07-09 10:47:40.783 +0700,2021-07-09 10:47:40.783 +0700,""
331251,difenoxin,2021-07-09 10:47:40.795 +0700,2021-07-09 10:47:40.795 +0700,""
331313,diphtheria-hemophilus influenzae b-pertussis-poliomyelitisắtetanus,2021-07-09 10:47:40.819 +0700,2021-07-09 10:47:40.819 +0700,""
330450,aluminium glycinate,2021-07-09 10:47:40.419 +0700,2021-07-09 10:47:40.419 +0700,"[""nhôm glycinate""]"
330496,amoxicilin,2021-07-09 10:47:40.447 +0700,2021-07-09 10:47:40.447 +0700,"[""amoxicillin""]"
330498,amphotericin b,2021-07-09 10:47:40.447 +0700,2021-07-09 10:47:40.447 +0700,""
330547,arsenic trioxide,2021-07-09 10:47:40.471 +0700,2021-07-09 10:47:40.471 +0700,""
330592,bamethan,2021-07-09 10:47:40.500 +0700,2021-07-09 10:47:40.500 +0700,""
330641,benzonatate,2021-07-09 10:47:40.524 +0700,2021-07-09 10:47:40.524 +0700,""
330738,bupivacaine,2021-07-09 10:47:40.566 +0700,2021-07-09 10:47:40.566 +0700,""
330786,calcium glucoheptonate,2021-07-09 10:47:40.585 +0700,2021-07-09 10:47:40.585 +0700,""
330835,carbromal,2021-07-09 10:47:40.606 +0700,2021-07-09 10:47:40.606 +0700,""
